,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2005-05-06 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,85.76,204.0
2004-12-20 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,205.0
2003-09-09 00:00:00,-0.0,M,-2147483648,,Weeden & Co,Not Provided,5,buy,47.17,206.0
2006-09-01 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,151.52,207.0
2006-09-01 00:00:00,-0.0,R,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,150.09,208.0
2006-09-01 00:00:00,-0.0,M,-2147483648,,Oppenheimer & Co,12 month,5,buy,150.09,209.0
2006-09-01 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,Not Provided,5,buy,125.79,210.0
2006-08-31 00:00:00,-0.0,M,-2147483648,,Bernstein,Not Provided,3,market perform,91.48,211.0
2006-08-29 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,134.36,212.0
2006-08-25 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,220.13,213.0
2006-08-11 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,5,buy,-0.0,214.0
2006-08-10 00:00:00,-0.0,U,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,5,buy,117.92,215.0
2006-08-09 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,216.0
2006-08-09 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,205.12,217.0
2006-08-08 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,182.96,218.0
2006-08-08 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,147.23,219.0
2006-08-08 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,220.0
2006-08-07 00:00:00,-0.0,M,-2147483648,,Raymond James,12 month,5,outperform,142.94,221.0
2006-08-04 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line/attractive,123.84,222.0
2006-08-04 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,142.94,223.0
2006-08-04 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,128.64,224.0
2006-08-04 00:00:00,-0.0,M,-2147483648,,Weeden & Co,Not Provided,5,buy,137.22,225.0
2006-08-04 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,143.65,226.0
2006-06-20 00:00:00,-0.0,N,-2147483648,,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0,227.0
2006-05-17 00:00:00,-0.0,M,-2147483648,,Scotia Howard Weil Inc,12 month,5,buy,145.8,228.0
2006-05-05 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,3,hold,124.36,229.0
2006-05-01 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,Not Provided,1,Underwt/Attractive,-0.0,230.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,142.94,231.0
2005-11-08 00:00:00,-0.0,U,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,232.0
2005-05-06 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,85.76,233.0
2006-09-29 00:00:00,-0.0,M,-2147483648,,Pareto Securities,Not Provided,5,buy,-0.0,234.0
2006-09-29 00:00:00,-0.0,M,-2147483648,,Oppenheimer & Co,12 month,5,buy,150.09,235.0
2006-09-25 00:00:00,-0.0,M,-2147483648,,Bernstein,Not Provided,3,market perform,91.48,236.0
2006-09-18 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,237.0
2006-09-12 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,214.41,238.0
2006-09-05 00:00:00,-0.0,R,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,150.09,239.0
2006-09-01 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,151.52,240.0
2006-09-01 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,Not Provided,5,buy,125.79,241.0
