,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
508,-0.000000,N,-2147483648,2009-07-31,"Miller Tabak + Co., LLC",Not Provided,5,strong buy,103.280000
509,-0.000000,M,-2147483648,2010-04-01,SunTrust Robinson Humphrey,12 month,5,buy,111.260000
510,-0.000000,M,-2147483648,2010-03-19,Davenport & Co,Not Provided,5,buy,95.360000
511,-0.000000,M,-2147483648,2010-03-05,Macquarie,12 month,3,neutral,82.120000
512,-0.000000,M,-2147483648,2010-02-17,Stifel,12 month,5,buy,105.960000
513,-0.000000,M,-2147483648,2010-02-05,J.P. Morgan,9 month,3,neutral,92.710000
514,-0.000000,M,-2147483648,2010-02-04,UBS,Not Provided,5,buy,90.070000
515,-0.000000,M,-2147483648,2010-02-04,"Keefe, Bruyette & Woods",12 month,3,market perform,66.220000
516,-0.000000,M,-2147483648,2010-02-04,Barclays,Not Provided,1,underwt/neutral,60.930000
517,-0.000000,N,-2147483648,2009-09-01,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.000000
518,-0.000000,M,-2147483648,2009-08-13,EVA Dimensions,Not Provided,3,hold,-0.000000
519,-0.000000,N,-2147483648,2009-07-31,"Miller Tabak + Co., LLC",Not Provided,5,strong buy,103.280000
520,-0.000000,M,-2147483648,2010-04-29,UBS,Not Provided,5,buy,90.070000
521,-0.000000,M,-2147483648,2010-04-29,SunTrust Robinson Humphrey,12 month,5,buy,119.200000
522,-0.000000,M,-2147483648,2010-04-29,J.P. Morgan,9 month,3,neutral,92.710000
523,-0.000000,R,-2147483648,2010-04-29,Stifel,Not Provided,5,buy,105.960000
524,-0.000000,M,-2147483648,2010-04-29,Davenport & Co,Not Provided,5,buy,105.960000
525,-0.000000,M,-2147483648,2010-04-29,Barclays,Not Provided,1,underwt/neutral,60.930000
526,-0.000000,M,-2147483648,2010-03-05,Macquarie,12 month,3,neutral,82.120000
527,-0.000000,M,-2147483648,2010-02-04,"Keefe, Bruyette & Woods",12 month,3,market perform,66.220000
528,-0.000000,N,-2147483648,2009-09-01,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.000000
529,-0.000000,M,-2147483648,2009-08-13,EVA Dimensions,Not Provided,3,hold,-0.000000
530,-0.000000,N,-2147483648,2009-07-31,"Miller Tabak + Co., LLC",Not Provided,5,strong buy,103.280000
531,-0.000000,M,-2147483648,2010-05-18,Barclays,Not Provided,1,underwt/neutral,60.930000
532,-0.000000,M,-2147483648,2010-05-13,Stifel,Not Provided,5,buy,105.960000
533,-0.000000,M,-2147483648,2010-05-10,UBS,Not Provided,5,buy,98.010000
534,-0.000000,M,-2147483648,2010-05-04,J.P. Morgan,6 month,3,neutral,92.710000
535,-0.000000,M,-2147483648,2010-04-29,SunTrust Robinson Humphrey,12 month,5,buy,119.200000
536,-0.000000,M,-2147483648,2010-04-29,Davenport & Co,Not Provided,5,buy,105.960000
537,-0.000000,M,-2147483648,2010-03-05,Macquarie,12 month,3,neutral,82.120000
538,-0.000000,M,-2147483648,2010-02-04,"Keefe, Bruyette & Woods",12 month,3,market perform,66.220000
539,-0.000000,N,-2147483648,2009-09-01,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.000000
540,-0.000000,M,-2147483648,2009-08-13,EVA Dimensions,Not Provided,3,hold,-0.000000
541,-0.000000,N,-2147483648,2009-07-31,"Miller Tabak + Co., LLC",Not Provided,5,strong buy,103.280000
542,-0.000000,N,-2147483648,2010-06-15,Sterne Agee CRT,12 month,3,neutral,90.070000
543,-0.000000,M,-2147483648,2010-06-14,Stifel,Not Provided,5,buy,105.960000
544,-0.000000,M,-2147483648,2010-06-11,SunTrust Robinson Humphrey,12 month,5,buy,119.200000
545,-0.000000,U,-2147483648,2010-06-03,Macquarie,12 month,5,outperform,98.010000
546,-0.000000,M,-2147483648,2010-05-18,Barclays,Not Provided,1,underwt/neutral,60.930000
547,-0.000000,M,-2147483648,2010-05-10,UBS,Not Provided,5,buy,98.010000
548,-0.000000,M,-2147483648,2010-05-04,J.P. Morgan,6 month,3,neutral,92.710000
549,-0.000000,M,-2147483648,2010-04-29,Davenport & Co,Not Provided,5,buy,105.960000
550,-0.000000,M,-2147483648,2010-02-04,"Keefe, Bruyette & Woods",12 month,3,market perform,66.220000
551,-0.000000,N,-2147483648,2009-09-01,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.000000
