,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
165,-0.000000,M,-2147483648,2015-07-31,Longbow Research,Not Provided,3,neutral,-0.000000
166,-0.000000,M,-2147483648,2015-07-30,Credit Suisse,Not Provided,5,outperform,74.000000
167,-0.000000,M,-2147483648,2015-07-30,Buckingham Research Group,12 month,5,buy,69.000000
168,-0.000000,M,-2147483648,2015-07-30,"Morningstar, Inc",Not Provided,3,hold,-0.000000
169,-0.000000,M,-2147483648,2015-07-30,Susquehanna Financial,12 month,3,neutral,66.000000
170,-0.000000,U,-2147483648,2015-03-03,EVA Dimensions,Not Provided,5,overweight,-0.000000
171,-0.000000,M,-2147483648,2015-09-01,Baird,12 month,5,outperform,72.000000
172,-0.000000,M,-2147483648,2015-08-28,Bernstein,Not Provided,3,market perform,69.000000
173,-0.000000,M,-2147483648,2015-08-13,Buckingham Research Group,12 month,5,buy,69.000000
174,-0.000000,M,-2147483648,2015-08-07,Credit Suisse,Not Provided,5,outperform,74.000000
175,-0.000000,M,-2147483648,2015-08-03,Susquehanna Financial,12 month,3,neutral,68.000000
176,-0.000000,M,-2147483648,2015-07-31,Imperial Capital LLC,12 month,5,outperform,68.000000
177,-0.000000,M,-2147483648,2015-07-31,Longbow Research,Not Provided,3,neutral,-0.000000
178,-0.000000,M,-2147483648,2015-07-30,"Morningstar, Inc",Not Provided,3,hold,-0.000000
179,-0.000000,U,-2147483648,2015-03-03,EVA Dimensions,Not Provided,5,overweight,-0.000000
180,-0.000000,M,-2147483648,2015-09-28,Baird,12 month,5,outperform,72.000000
181,-0.000000,M,-2147483648,2015-09-23,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
182,-0.000000,M,-2147483648,2015-09-22,Credit Suisse,Not Provided,5,outperform,74.000000
183,-0.000000,M,-2147483648,2015-09-21,Bernstein,Not Provided,3,market perform,69.000000
184,-0.000000,M,-2147483648,2015-09-14,Buckingham Research Group,12 month,5,buy,69.000000
